sales_date,day_of_week,product_id,units_sold,weekend_tracker
2025-01-01,Wednesday,1,14,False
2025-01-01,Wednesday,2,22,False
2025-01-01,Wednesday,3,40,False
2025-01-01,Wednesday,4,12,False
2025-01-01,Wednesday,5,14,False
2025-01-01,Wednesday,6,23,False
2025-01-01,Wednesday,7,18,False
2025-01-01,Wednesday,8,28,False
2025-01-01,Wednesday,9,26,False
2025-01-01,Wednesday,10,18,False
2025-01-01,Wednesday,11,31,False
2025-01-01,Wednesday,12,21,False
2025-01-01,Wednesday,13,12,False
2025-01-01,Wednesday,14,5,False
2025-01-01,Wednesday,15,16,False
2025-01-01,Wednesday,16,28,False
2025-01-01,Wednesday,17,29,False
2025-01-01,Wednesday,18,17,False
2025-01-01,Wednesday,19,23,False
2025-01-01,Wednesday,20,16,False
2025-01-01,Wednesday,21,34,False
2025-01-01,Wednesday,22,7,False
2025-01-01,Wednesday,23,27,False
2025-01-01,Wednesday,24,26,False
2025-01-01,Wednesday,25,5,False
2025-01-01,Wednesday,26,21,False
2025-01-01,Wednesday,27,24,False
2025-01-01,Wednesday,28,41,False
2025-01-01,Wednesday,29,22,False
2025-01-01,Wednesday,30,21,False
2025-01-01,Wednesday,31,15,False
2025-01-01,Wednesday,32,9,False
2025-01-01,Wednesday,33,49,False
2025-01-01,Wednesday,34,9,False
2025-01-01,Wednesday,35,24,False
2025-01-01,Wednesday,36,30,False
2025-01-01,Wednesday,37,5,False
2025-01-01,Wednesday,38,35,False
2025-01-01,Wednesday,39,34,False
2025-01-01,Wednesday,40,25,False
2025-01-01,Wednesday,41,21,False
2025-01-01,Wednesday,42,11,False
2025-01-01,Wednesday,43,36,False
2025-01-01,Wednesday,44,20,False
2025-01-01,Wednesday,45,9,False
2025-01-01,Wednesday,46,5,False
2025-01-01,Wednesday,47,8,False
2025-01-01,Wednesday,48,22,False
2025-01-01,Wednesday,49,22,False
2025-01-01,Wednesday,50,11,False
2025-01-02,Thursday,1,12,False
2025-01-02,Thursday,2,23,False
2025-01-02,Thursday,3,38,False
2025-01-02,Thursday,4,17,False
2025-01-02,Thursday,5,15,False
2025-01-02,Thursday,6,28,False
2025-01-02,Thursday,7,19,False
2025-01-02,Thursday,8,36,False
2025-01-02,Thursday,9,24,False
2025-01-02,Thursday,10,31,False
2025-01-02,Thursday,11,32,False
2025-01-02,Thursday,12,15,False
2025-01-02,Thursday,13,12,False
2025-01-02,Thursday,14,5,False
2025-01-02,Thursday,15,15,False
2025-01-02,Thursday,16,19,False
2025-01-02,Thursday,17,20,False
2025-01-02,Thursday,18,14,False
2025-01-02,Thursday,19,31,False
2025-01-02,Thursday,20,13,False
2025-01-02,Thursday,21,26,False
2025-01-02,Thursday,22,10,False
2025-01-02,Thursday,23,33,False
2025-01-02,Thursday,24,26,False
2025-01-02,Thursday,25,5,False
2025-01-02,Thursday,26,13,False
2025-01-02,Thursday,27,32,False
2025-01-02,Thursday,28,27,False
2025-01-02,Thursday,29,17,False
2025-01-02,Thursday,30,21,False
2025-01-02,Thursday,31,12,False
2025-01-02,Thursday,32,13,False
2025-01-02,Thursday,33,31,False
2025-01-02,Thursday,34,12,False
2025-01-02,Thursday,35,28,False
2025-01-02,Thursday,36,35,False
2025-01-02,Thursday,37,3,False
2025-01-02,Thursday,38,37,False
2025-01-02,Thursday,39,35,False
2025-01-02,Thursday,40,22,False
2025-01-02,Thursday,41,16,False
2025-01-02,Thursday,42,14,False
2025-01-02,Thursday,43,38,False
2025-01-02,Thursday,44,17,False
2025-01-02,Thursday,45,10,False
2025-01-02,Thursday,46,5,False
2025-01-02,Thursday,47,7,False
2025-01-02,Thursday,48,32,False
2025-01-02,Thursday,49,20,False
2025-01-02,Thursday,50,16,False
2025-01-03,Friday,1,20,False
2025-01-03,Friday,2,29,False
2025-01-03,Friday,3,31,False
2025-01-03,Friday,4,16,False
2025-01-03,Friday,5,12,False
2025-01-03,Friday,6,34,False
2025-01-03,Friday,7,17,False
2025-01-03,Friday,8,28,False
2025-01-03,Friday,9,16,False
2025-01-03,Friday,10,31,False
2025-01-03,Friday,11,32,False
2025-01-03,Friday,12,24,False
2025-01-03,Friday,13,14,False
2025-01-03,Friday,14,6,False
2025-01-03,Friday,15,13,False
2025-01-03,Friday,16,26,False
2025-01-03,Friday,17,24,False
2025-01-03,Friday,18,16,False
2025-01-03,Friday,19,35,False
2025-01-03,Friday,20,10,False
2025-01-03,Friday,21,25,False
2025-01-03,Friday,22,7,False
2025-01-03,Friday,23,29,False
2025-01-03,Friday,24,23,False
2025-01-03,Friday,25,7,False
2025-01-03,Friday,26,16,False
2025-01-03,Friday,27,20,False
2025-01-03,Friday,28,40,False
2025-01-03,Friday,29,27,False
2025-01-03,Friday,30,21,False
2025-01-03,Friday,31,11,False
2025-01-03,Friday,32,8,False
2025-01-03,Friday,33,33,False
2025-01-03,Friday,34,14,False
2025-01-03,Friday,35,26,False
2025-01-03,Friday,36,40,False
2025-01-03,Friday,37,4,False
2025-01-03,Friday,38,38,False
2025-01-03,Friday,39,37,False
2025-01-03,Friday,40,25,False
2025-01-03,Friday,41,24,False
2025-01-03,Friday,42,15,False
2025-01-03,Friday,43,24,False
2025-01-03,Friday,44,20,False
2025-01-03,Friday,45,7,False
2025-01-03,Friday,46,5,False
2025-01-03,Friday,47,9,False
2025-01-03,Friday,48,37,False
2025-01-03,Friday,49,13,False
2025-01-03,Friday,50,15,False
2025-01-04,Saturday,1,37,True
2025-01-04,Saturday,2,49,True
2025-01-04,Saturday,3,61,True
2025-01-04,Saturday,4,28,True
2025-01-04,Saturday,5,30,True
2025-01-04,Saturday,6,36,True
2025-01-04,Saturday,7,24,True
2025-01-04,Saturday,8,56,True
2025-01-04,Saturday,9,44,True
2025-01-04,Saturday,10,63,True
2025-01-04,Saturday,11,56,True
2025-01-04,Saturday,12,33,True
2025-01-04,Saturday,13,22,True
2025-01-04,Saturday,14,6,True
2025-01-04,Saturday,15,30,True
2025-01-04,Saturday,16,73,True
2025-01-04,Saturday,17,52,True
2025-01-04,Saturday,18,21,True
2025-01-04,Saturday,19,80,True
2025-01-04,Saturday,20,18,True
2025-01-04,Saturday,21,89,True
2025-01-04,Saturday,22,9,True
2025-01-04,Saturday,23,40,True
2025-01-04,Saturday,24,35,True
2025-01-04,Saturday,25,14,True
2025-01-04,Saturday,26,35,True
2025-01-04,Saturday,27,39,True
2025-01-04,Saturday,28,75,True
2025-01-04,Saturday,29,33,True
2025-01-04,Saturday,30,24,True
2025-01-04,Saturday,31,18,True
2025-01-04,Saturday,32,15,True
2025-01-04,Saturday,33,73,True
2025-01-04,Saturday,34,31,True
2025-01-04,Saturday,35,59,True
2025-01-04,Saturday,36,70,True
2025-01-04,Saturday,37,8,True
2025-01-04,Saturday,38,48,True
2025-01-04,Saturday,39,71,True
2025-01-04,Saturday,40,56,True
2025-01-04,Saturday,41,36,True
2025-01-04,Saturday,42,25,True
2025-01-04,Saturday,43,48,True
2025-01-04,Saturday,44,40,True
2025-01-04,Saturday,45,12,True
2025-01-04,Saturday,46,10,True
2025-01-04,Saturday,47,16,True
2025-01-04,Saturday,48,42,True
2025-01-04,Saturday,49,31,True
2025-01-04,Saturday,50,24,True
2025-01-05,Sunday,1,40,True
2025-01-05,Sunday,2,63,True
2025-01-05,Sunday,3,63,True
2025-01-05,Sunday,4,23,True
2025-01-05,Sunday,5,24,True
2025-01-05,Sunday,6,30,True
2025-01-05,Sunday,7,23,True
2025-01-05,Sunday,8,61,True
2025-01-05,Sunday,9,34,True
2025-01-05,Sunday,10,63,True
2025-01-05,Sunday,11,36,True
2025-01-05,Sunday,12,49,True
2025-01-05,Sunday,13,30,True
2025-01-05,Sunday,14,6,True
2025-01-05,Sunday,15,34,True
2025-01-05,Sunday,16,75,True
2025-01-05,Sunday,17,67,True
2025-01-05,Sunday,18,30,True
2025-01-05,Sunday,19,56,True
2025-01-05,Sunday,20,21,True
2025-01-05,Sunday,21,70,True
2025-01-05,Sunday,22,9,True
2025-01-05,Sunday,23,30,True
2025-01-05,Sunday,24,28,True
2025-01-05,Sunday,25,14,True
2025-01-05,Sunday,26,46,True
2025-01-05,Sunday,27,51,True
2025-01-05,Sunday,28,73,True
2025-01-05,Sunday,29,32,True
2025-01-05,Sunday,30,43,True
2025-01-05,Sunday,31,23,True
2025-01-05,Sunday,32,21,True
2025-01-05,Sunday,33,104,True
2025-01-05,Sunday,34,21,True
2025-01-05,Sunday,35,68,True
2025-01-05,Sunday,36,77,True
2025-01-05,Sunday,37,8,True
2025-01-05,Sunday,38,54,True
2025-01-05,Sunday,39,64,True
2025-01-05,Sunday,40,60,True
2025-01-05,Sunday,41,34,True
2025-01-05,Sunday,42,14,True
2025-01-05,Sunday,43,42,True
2025-01-05,Sunday,44,47,True
2025-01-05,Sunday,45,9,True
2025-01-05,Sunday,46,10,True
2025-01-05,Sunday,47,18,True
2025-01-05,Sunday,48,44,True
2025-01-05,Sunday,49,32,True
2025-01-05,Sunday,50,20,True
2025-01-06,Monday,1,18,False
2025-01-06,Monday,2,31,False
2025-01-06,Monday,3,33,False
2025-01-06,Monday,4,19,False
2025-01-06,Monday,5,14,False
2025-01-06,Monday,6,22,False
2025-01-06,Monday,7,15,False
2025-01-06,Monday,8,42,False
2025-01-06,Monday,9,16,False
2025-01-06,Monday,10,22,False
2025-01-06,Monday,11,37,False
2025-01-06,Monday,12,19,False
2025-01-06,Monday,13,18,False
2025-01-06,Monday,14,3,False
2025-01-06,Monday,15,18,False
2025-01-06,Monday,16,26,False
2025-01-06,Monday,17,30,False
2025-01-06,Monday,18,20,False
2025-01-06,Monday,19,31,False
2025-01-06,Monday,20,16,False
2025-01-06,Monday,21,27,False
2025-01-06,Monday,22,6,False
2025-01-06,Monday,23,25,False
2025-01-06,Monday,24,16,False
2025-01-06,Monday,25,7,False
2025-01-06,Monday,26,17,False
2025-01-06,Monday,27,29,False
2025-01-06,Monday,28,25,False
2025-01-06,Monday,29,21,False
2025-01-06,Monday,30,16,False
2025-01-06,Monday,31,14,False
2025-01-06,Monday,32,13,False
2025-01-06,Monday,33,29,False
2025-01-06,Monday,34,13,False
2025-01-06,Monday,35,30,False
2025-01-06,Monday,36,42,False
2025-01-06,Monday,37,5,False
2025-01-06,Monday,38,23,False
2025-01-06,Monday,39,40,False
2025-01-06,Monday,40,26,False
2025-01-06,Monday,41,16,False
2025-01-06,Monday,42,9,False
2025-01-06,Monday,43,26,False
2025-01-06,Monday,44,21,False
2025-01-06,Monday,45,8,False
2025-01-06,Monday,46,5,False
2025-01-06,Monday,47,10,False
2025-01-06,Monday,48,30,False
2025-01-06,Monday,49,20,False
2025-01-06,Monday,50,11,False
2025-01-07,Tuesday,1,20,False
2025-01-07,Tuesday,2,31,False
2025-01-07,Tuesday,3,37,False
2025-01-07,Tuesday,4,16,False
2025-01-07,Tuesday,5,14,False
2025-01-07,Tuesday,6,20,False
2025-01-07,Tuesday,7,12,False
2025-01-07,Tuesday,8,24,False
2025-01-07,Tuesday,9,16,False
2025-01-07,Tuesday,10,25,False
2025-01-07,Tuesday,11,21,False
2025-01-07,Tuesday,12,24,False
2025-01-07,Tuesday,13,15,False
2025-01-07,Tuesday,14,3,False
2025-01-07,Tuesday,15,16,False
2025-01-07,Tuesday,16,24,False
2025-01-07,Tuesday,17,25,False
2025-01-07,Tuesday,18,20,False
2025-01-07,Tuesday,19,33,False
2025-01-07,Tuesday,20,12,False
2025-01-07,Tuesday,21,32,False
2025-01-07,Tuesday,22,5,False
2025-01-07,Tuesday,23,20,False
2025-01-07,Tuesday,24,16,False
2025-01-07,Tuesday,25,4,False
2025-01-07,Tuesday,26,19,False
2025-01-07,Tuesday,27,20,False
2025-01-07,Tuesday,28,29,False
2025-01-07,Tuesday,29,16,False
2025-01-07,Tuesday,30,13,False
2025-01-07,Tuesday,31,15,False
2025-01-07,Tuesday,32,13,False
2025-01-07,Tuesday,33,39,False
2025-01-07,Tuesday,34,10,False
2025-01-07,Tuesday,35,41,False
2025-01-07,Tuesday,36,26,False
2025-01-07,Tuesday,37,4,False
2025-01-07,Tuesday,38,29,False
2025-01-07,Tuesday,39,37,False
2025-01-07,Tuesday,40,26,False
2025-01-07,Tuesday,41,28,False
2025-01-07,Tuesday,42,14,False
2025-01-07,Tuesday,43,40,False
2025-01-07,Tuesday,44,19,False
2025-01-07,Tuesday,45,9,False
2025-01-07,Tuesday,46,6,False
2025-01-07,Tuesday,47,9,False
2025-01-07,Tuesday,48,34,False
2025-01-07,Tuesday,49,22,False
2025-01-07,Tuesday,50,9,False
2025-01-08,Wednesday,1,16,False
2025-01-08,Wednesday,2,34,False
2025-01-08,Wednesday,3,33,False
2025-01-08,Wednesday,4,11,False
2025-01-08,Wednesday,5,20,False
2025-01-08,Wednesday,6,25,False
2025-01-08,Wednesday,7,18,False
2025-01-08,Wednesday,8,31,False
2025-01-08,Wednesday,9,25,False
2025-01-08,Wednesday,10,29,False
2025-01-08,Wednesday,11,32,False
2025-01-08,Wednesday,12,27,False
2025-01-08,Wednesday,13,15,False
2025-01-08,Wednesday,14,6,False
2025-01-08,Wednesday,15,16,False
2025-01-08,Wednesday,16,28,False
2025-01-08,Wednesday,17,22,False
2025-01-08,Wednesday,18,14,False
2025-01-08,Wednesday,19,27,False
2025-01-08,Wednesday,20,14,False
2025-01-08,Wednesday,21,27,False
2025-01-08,Wednesday,22,9,False
2025-01-08,Wednesday,23,25,False
2025-01-08,Wednesday,24,17,False
2025-01-08,Wednesday,25,5,False
2025-01-08,Wednesday,26,21,False
2025-01-08,Wednesday,27,32,False
2025-01-08,Wednesday,28,37,False
2025-01-08,Wednesday,29,19,False
2025-01-08,Wednesday,30,17,False
2025-01-08,Wednesday,31,19,False
2025-01-08,Wednesday,32,12,False
2025-01-08,Wednesday,33,39,False
2025-01-08,Wednesday,34,13,False
2025-01-08,Wednesday,35,41,False
2025-01-08,Wednesday,36,28,False
2025-01-08,Wednesday,37,5,False
2025-01-08,Wednesday,38,26,False
2025-01-08,Wednesday,39,29,False
2025-01-08,Wednesday,40,23,False
2025-01-08,Wednesday,41,15,False
2025-01-08,Wednesday,42,14,False
2025-01-08,Wednesday,43,23,False
2025-01-08,Wednesday,44,17,False
2025-01-08,Wednesday,45,10,False
2025-01-08,Wednesday,46,6,False
2025-01-08,Wednesday,47,11,False
2025-01-08,Wednesday,48,26,False
2025-01-08,Wednesday,49,14,False
2025-01-08,Wednesday,50,11,False
2025-01-09,Thursday,1,21,False
2025-01-09,Thursday,2,28,False
2025-01-09,Thursday,3,40,False
2025-01-09,Thursday,4,13,False
2025-01-09,Thursday,5,19,False
2025-01-09,Thursday,6,32,False
2025-01-09,Thursday,7,13,False
2025-01-09,Thursday,8,24,False
2025-01-09,Thursday,9,17,False
2025-01-09,Thursday,10,26,False
2025-01-09,Thursday,11,36,False
2025-01-09,Thursday,12,21,False
2025-01-09,Thursday,13,12,False
2025-01-09,Thursday,14,3,False
2025-01-09,Thursday,15,10,False
2025-01-09,Thursday,16,31,False
2025-01-09,Thursday,17,29,False
2025-01-09,Thursday,18,22,False
2025-01-09,Thursday,19,34,False
2025-01-09,Thursday,20,11,False
2025-01-09,Thursday,21,32,False
2025-01-09,Thursday,22,9,False
2025-01-09,Thursday,23,31,False
2025-01-09,Thursday,24,25,False
2025-01-09,Thursday,25,5,False
2025-01-09,Thursday,26,15,False
2025-01-09,Thursday,27,23,False
2025-01-09,Thursday,28,23,False
2025-01-09,Thursday,29,21,False
2025-01-09,Thursday,30,13,False
2025-01-09,Thursday,31,11,False
2025-01-09,Thursday,32,10,False
2025-01-09,Thursday,33,32,False
2025-01-09,Thursday,34,10,False
2025-01-09,Thursday,35,37,False
2025-01-09,Thursday,36,34,False
2025-01-09,Thursday,37,5,False
2025-01-09,Thursday,38,38,False
2025-01-09,Thursday,39,24,False
2025-01-09,Thursday,40,23,False
2025-01-09,Thursday,41,23,False
2025-01-09,Thursday,42,13,False
2025-01-09,Thursday,43,25,False
2025-01-09,Thursday,44,27,False
2025-01-09,Thursday,45,8,False
2025-01-09,Thursday,46,3,False
2025-01-09,Thursday,47,12,False
2025-01-09,Thursday,48,29,False
2025-01-09,Thursday,49,23,False
2025-01-09,Thursday,50,14,False
2025-01-10,Friday,1,16,False
2025-01-10,Friday,2,23,False
2025-01-10,Friday,3,26,False
2025-01-10,Friday,4,18,False
2025-01-10,Friday,5,15,False
2025-01-10,Friday,6,28,False
2025-01-10,Friday,7,15,False
2025-01-10,Friday,8,43,False
2025-01-10,Friday,9,24,False
2025-01-10,Friday,10,19,False
2025-01-10,Friday,11,33,False
2025-01-10,Friday,12,25,False
2025-01-10,Friday,13,13,False
2025-01-10,Friday,14,5,False
2025-01-10,Friday,15,16,False
2025-01-10,Friday,16,25,False
2025-01-10,Friday,17,30,False
2025-01-10,Friday,18,20,False
2025-01-10,Friday,19,38,False
2025-01-10,Friday,20,12,False
2025-01-10,Friday,21,21,False
2025-01-10,Friday,22,9,False
2025-01-10,Friday,23,23,False
2025-01-10,Friday,24,21,False
2025-01-10,Friday,25,6,False
2025-01-10,Friday,26,14,False
2025-01-10,Friday,27,27,False
2025-01-10,Friday,28,27,False
2025-01-10,Friday,29,28,False
2025-01-10,Friday,30,12,False
2025-01-10,Friday,31,17,False
2025-01-10,Friday,32,13,False
2025-01-10,Friday,33,42,False
2025-01-10,Friday,34,10,False
2025-01-10,Friday,35,27,False
2025-01-10,Friday,36,32,False
2025-01-10,Friday,37,4,False
2025-01-10,Friday,38,28,False
2025-01-10,Friday,39,34,False
2025-01-10,Friday,40,28,False
2025-01-10,Friday,41,17,False
2025-01-10,Friday,42,9,False
2025-01-10,Friday,43,33,False
2025-01-10,Friday,44,23,False
2025-01-10,Friday,45,9,False
2025-01-10,Friday,46,4,False
2025-01-10,Friday,47,10,False
2025-01-10,Friday,48,37,False
2025-01-10,Friday,49,18,False
2025-01-10,Friday,50,10,False
2025-01-11,Saturday,1,49,True
2025-01-11,Saturday,2,85,True
2025-01-11,Saturday,3,83,True
2025-01-11,Saturday,4,31,True
2025-01-11,Saturday,5,22,True
2025-01-11,Saturday,6,42,True
2025-01-11,Saturday,7,14,True
2025-01-11,Saturday,8,66,True
2025-01-11,Saturday,9,44,True
2025-01-11,Saturday,10,66,True
2025-01-11,Saturday,11,54,True
2025-01-11,Saturday,12,41,True
2025-01-11,Saturday,13,21,True
2025-01-11,Saturday,14,4,True
2025-01-11,Saturday,15,26,True
2025-01-11,Saturday,16,61,True
2025-01-11,Saturday,17,65,True
2025-01-11,Saturday,18,24,True
2025-01-11,Saturday,19,49,True
2025-01-11,Saturday,20,21,True
2025-01-11,Saturday,21,84,True
2025-01-11,Saturday,22,7,True
2025-01-11,Saturday,23,39,True
2025-01-11,Saturday,24,28,True
2025-01-11,Saturday,25,14,True
2025-01-11,Saturday,26,33,True
2025-01-11,Saturday,27,65,True
2025-01-11,Saturday,28,82,True
2025-01-11,Saturday,29,40,True
2025-01-11,Saturday,30,37,True
2025-01-11,Saturday,31,26,True
2025-01-11,Saturday,32,18,True
2025-01-11,Saturday,33,71,True
2025-01-11,Saturday,34,26,True
2025-01-11,Saturday,35,41,True
2025-01-11,Saturday,36,87,True
2025-01-11,Saturday,37,5,True
2025-01-11,Saturday,38,65,True
2025-01-11,Saturday,39,101,True
2025-01-11,Saturday,40,40,True
2025-01-11,Saturday,41,41,True
2025-01-11,Saturday,42,20,True
2025-01-11,Saturday,43,68,True
2025-01-11,Saturday,44,45,True
2025-01-11,Saturday,45,9,True
2025-01-11,Saturday,46,10,True
2025-01-11,Saturday,47,18,True
